code;alltrials;blok;xrng;yrng
vpja01;26;22;12,3000000000001;19,7
vpja02;26;25;26,4929078014184;48,2
vpja03;26;25;25,404109589041;33,3979310344827
vpja04;26;26;33,8000000000001;54,9
vpja05;26;23;16,3222614840989;27,9465212198816
vpja06;26;25;17;28,6
vpja07;26;26;32,9205479452055;28,5
vpja08;26;25;19,9;34,3383512544802
vpja09;26;26;17,8440273037544;16,8
vpja10;26;26;47,671940193604;34,5
vpja11;26;24;24,4;41,4
vpja12;26;26;42,3;45,6999999999999
vpja13;26;24;26,5928315412186;38,2368600682594
vpja14;26;19;20,1999999999999;16,2
vpja15;26;26;48,5200692041523;82,6453924914675
vpja16;26;25;16,5;16,1
vpja17;26;26;33,6;22,7
vpja18;26;22;40,4999999999999;64
vpja19;26;25;27,6999999999999;23,8000000000001
vpja20;26;26;40,6;70,1716723549487
vpja21;26;22;16,5079136690647;11,6
vpja22;26;22;66,2030303030303;43,2363209393345
vpja24;26;26;33,5;72,0059530060382
vpja25;26;23;82,3756097560976;46,0777397260274
vpja26;26;24;29,2456066945608;34,4
vpja27;26;26;28,7;51,7
vpja28;26;24;18,5999999999999;40,8
vpja29;26;24;15,1949458483756;30,0107913669063
vpja30;26;24;52,2043321299639;77,9310469314079
vpja31;26;25;33,0149090909091;48,4714776632303
vpja32;26;24;39,8041522491351;136,28431372549
vpja33;26;26;24,0547418774019;35,6566929133858
vpja34;26;25;304,5;720,5
vpja35;26;26;35,6;102,112456747405
vpja36;26;26;42,4;67,8000000000001
vpja37;26;23;33,5999999999999;39,8324742268042
vpja38;26;19;44,3055762081785;30,3
vpja39;26;21;38,4587628865979;23,2
vpja40;26;24;40,8897810218976;46,1
vpja41;26;26;14,8000000000001;36,0929824561402
vpja42;26;23;44,8000000000001;33,7
vpja43;26;22;35,7846153846153;102,162637362637
vpja44;26;25;31,4751381215469;26,3
vpja45;26;25;37,6;49,7041666666667
vpja46;26;24;32,8;32,3
vpja47;26;25;18,9321678321679;27,8440366972477
vpja48;26;26;21,3141342756184;27,7388888888889
vpja49;26;20;51,2;66,3
vpja50;26;26;20,2;27,9
vpja51;26;24;26,4494961790762;31,5999999999999
vpja52;26;26;22,4;19,8000000000001
vpja53;26;23;45,6;41,5
vpja54;26;25;16,8;37,1
vpja55;26;26;33,9;28,1
vpja56;26;22;43,0409448818898;71,6999999999999
vpja57;26;24;39,9;56,049074074074
vpja58;26;25;42,6;33,6999999999999
vpja59;26;26;30,9;38,8
vpja60;26;24;48,2;27,8000000000001
vpja61;26;25;71,3000000000001;52,1
vpja62;26;24;38,4;43,3000000000001
vpja63;26;24;11,9;59,1
vpja64;26;24;34,6615384615384;80,0897435897436
vpja65;26;24;45,7;87,9
vpja66;26;26;33,334074074074;31,3570422535211
vpja67;26;22;26,2545454545455;70,6
vpja68;26;25;18,2120879120879;13,3988047808764
vpja69;26;23;21;25,8
vpja70;26;23;21,4869415807559;17,8
vpja71;26;26;34,6;25,1
vpja72;26;24;37,5227272727273;50,9272727272727
vpja73;26;26;26,1999999999999;18
vpja74;26;21;47,9999999999999;39,1
vpja75;26;26;28,4394308943091;31,9784552845529
vpja76;26;22;35,2962121212121;24,4
vpja77;26;24;27,7;91,5
vpja78;26;21;27,5414778325122;66,6912213740458
vpja81;26;26;20;18,1
vpja82;26;24;29,9666666666666;32,5250000000001
vpja83;26;25;25,7575342465753;34,3
vpja84;26;24;37,6906574394462;114,4
vpja85;26;22;10,5764705882353;29
vpja86;26;25;21,1;32,4
vpja87;26;24;24;14,6484536082475
vpja88;26;18;35,1036577141269;48,3335794359547
vpja89;26;22;26,9000000000001;21,2
vpja90;26;26;44;25,2
vpja91;26;23;35,6929303561138;23,8000000000001
vpja92;26;25;26,7421052631578;17
vpja93;26;25;17,9958333333334;20,6287197231834
vpja94;26;25;26,4;21,9
vpja95;26;26;26,2;26,6
vpja96;26;25;27,6;18,3
