stimulus;background;gaze;head;body;nongaze
10A_ROI.png;1097137;3351;34540;87497;6275
10B_ROI.png;1100520;5447;34980;84053;3800
10C_ROI.png;1096883;6289;32006;90391;3231
10D_ROI.png;1095032;4214;32658;92341;4555
11A_ROI.png;1090362;21513;9826;55088;52011
11B_ROI.png;1087813;53789;10725;52646;23827
11C_ROI.png;1090561;49747;8730;57109;22653
11D_ROI.png;1085890;24057;8698;56051;54104
12A_ROI.png;1069508;15264;23230;110460;10338
12B_ROI.png;1097666;8486;19976;91112;11560
12C_ROI.png;1069294;10177;22980;15150;111199
12D_ROI.png;1093579;11702;18966;96289;8264
13A_ROI.png;1034435;26567;18017;69152;80629
13B_ROI.png;1029388;76095;16938;70030;36349
13C_ROI.png;1030286;36578;16984;68759;76193
13D_ROI.png;1039317;79663;16180;67937;25703
14A_ROI.png;1082185;13044;15521;78021;40029
14B_ROI.png;1015799;72125;20505;98842;21529
14C_ROI.png;1073993;41717;16361;82789;13940
14D_ROI.png;1026069;21389;20488;90766;70088
15A_ROI.png;1087520;6144;15128;105861;14147
15B_ROI.png;1081225;15344;15346;110580;6305
15C_ROI.png;1079290;13736;14855;114939;5980
15D_ROI.png;1070553;6449;15450;120887;15461
16A_ROI.png;1033631;17596;19989;95411;62173
16B_ROI.png;1052169;52949;17044;90223;16415
16C_ROI.png;1024262;67996;19186;98688;18668
16D_ROI.png;1042273;16965;19202;93043;57317
17A_ROI.png;892528;31945;79451;193085;31791
17B_ROI.png;969656;26790;51893;161335;19126
17C_ROI.png;914817;30346;58985;195979;28673
17D_ROI.png;936507;18931;58339;187245;27778
18A_ROI.png;1138063;16871;13099;39391;21376
18B_ROI.png;1125946;22527;14525;44921;20881
18C_ROI.png;1137215;21325;13183;40351;16726
18D_ROI.png;1135890;18900;13334;40573;20103
19A_ROI.png;1097104;22581;20797;67949;20369
19B_ROI.png;1090425;42243;20288;63527;12317
19C_ROI.png;1077420;23347;28627;74410;24996
19D_ROI.png;1071791;13634;26263;68481;48631
1A_ROI.png;1124499;10065;11974;79326;2936
1B_ROI.png;1124247;3325;12181;79279;9768
1C_ROI.png;1126951;2875;11569;77406;9999
1D_ROI.png;1123484;9630;11654;80902;3130
20A_ROI.png;1009004;79955;27954;65002;46885
20B_ROI.png;885648;36611;32688;79170;194683
20C_ROI.png;915124;180781;27826;73675;31394
20D_ROI.png;1003811;50172;25706;69754;79357
21A_ROI.png;940981;14457;77166;193175;3021
21B_ROI.png;950988;3500;75606;184602;14104
21C_ROI.png;931087;3204;83069;195633;15807
21D_ROI.png;953850;13844;77666;179280;4160
22A_ROI.png;1176321;12982;6940;28668;3889
22B_ROI.png;1172909;7927;7473;32078;8413
22C_ROI.png;1189574;3168;8480;14709;12869
22D_ROI.png;1180544;8078;8870;23780;7528
23A_ROI.png;965575;14634;29963;184601;34027
23B_ROI.png;967824;32639;36117;179483;12737
23C_ROI.png;974001;12355;29399;178794;34251
23D_ROI.png;971865;35571;31969;177197;12198
24A_ROI.png;1118445;7426;10692;77892;14345
24B_ROI.png;1119653;8166;10732;78866;11383
24C_ROI.png;1114715;14056;10302;82376;7351
24D_ROI.png;1115542;11317;10582;82923;8436
25A_ROI.png;982362;18939;56280;158304;12915
25B_ROI.png;987790;9754;53327;152593;25336
25C_ROI.png;1015716;10722;40831;145535;15996
25D_ROI.png;997266;24797;45427;151775;9535
26A_ROI.png;1000370;5847;45500;171836;5247
26B_ROI.png;1044260;5577;37371;137073;4519
26C_ROI.png;1020745;4570;45889;152025;5571
26D_ROI.png;1046616;4233;41251;131016;5684
2A_ROI.png;1162888;3816;15184;43847;3065
2B_ROI.png;1163001;2610;15644;44711;2834
2C_ROI.png;1159342;3046;15987;46147;4278
2D_ROI.png;1161505;2731;16542;45268;2754
3A_ROI.png;1160976;2287;8378;44048;13111
3B_ROI.png;1159849;10833;8321;47210;2587
3C_ROI.png;1155626;2519;7834;51597;11224
3D_ROI.png;1154998;12923;7824;50674;2381
4A_ROI.png;1055875;27317;10014;85443;50151
4B_ROI.png;1076674;41010;9153;78940;23023
4C_ROI.png;1072818;22862;9571;81846;41703
4D_ROI.png;1067221;47236;8979;80365;24999
5A_ROI.png;1152466;6231;6595;49815;13693
5B_ROI.png;1148942;17377;6662;50525;5294
5C_ROI.png;1149734;5593;6604;49151;17718
5D_ROI.png;1152692;13658;6585;49380;6485
6A_ROI.png;1111454;28853;8650;60220;19623
6B_ROI.png;1115938;23794;9262;48097;31709
6C_ROI.png;1110487;22555;6935;54885;33938
6D_ROI.png;1101593;32943;7495;61997;24772
7A_ROI.png;1116773;20468;16027;55645;19887
7B_ROI.png;1101382;47233;16293;53979;9913
7C_ROI.png;1099984;20627;23748;63160;21281
7D_ROI.png;1086518;10065;24129;60297;47791
8A_ROI.png;1036316;45234;30156;99191;17903
8B_ROI.png;1022935;20653;30842;109636;44734
8C_ROI.png;1038977;17753;30386;97850;43834
8D_ROI.png;1024605;45320;32451;105706;20718
9A_ROI.png;906154;30013;49436;201599;41598
9B_ROI.png;887607;41259;51061;209123;39750
9C_ROI.png;879340;33826;53185;220665;41784
9D_ROI.png;908672;40966;46927;201049;31186
