vp;trial;pic;iti;blx;bly;blok
vpja33;1;19B;12192,2;951,5;597,4;1
vpja33;2;6C;14060,3;954,566552901024;598,427645051195;1
vpja33;3;3D;13193;952,6;586,6;1
vpja33;4;21D;12809,3;946,7;572,5;1
vpja33;5;17C;13209,6;950,7;580,6;1
vpja33;6;25A;14110,3;952,3;590;1
vpja33;7;13C;13243;942,8;585,2;1
vpja33;8;5C;13226,4;938,7;591,4;1
vpja33;9;24C;14060,2;942,4;579,8;1
vpja33;10;9B;13776,7;941,085714285714;586,393877551021;1
vpja33;11;26D;12959,5;943,7;591;1
vpja33;12;7D;13343,1;943,086348122867;583,440955631399;1
vpja33;13;8C;13926,8;939,5;584,3;1
vpja33;14;22A;12826,1;934,218213058419;588,652233676976;1
vpja33;15;1D;12725,9;940,7;599,8;1
vpja33;16;14B;13459,8;941;595;1
vpja33;17;18A;12425,8;937,2;597,9;1
vpja33;18;23A;13643,3;930,511811023622;608,156692913386;1
vpja33;19;12D;12926,1;942,9;588,3;1
vpja33;20;10D;13126,2;936,3;604,3;1
vpja33;21;16D;14077;950,7;600,4;1
vpja33;22;11D;12208,9;935,8;602,1;1
vpja33;23;2B;13243;951,6;595,1;1
vpja33;24;15D;12859,4;935,5;592;1
vpja33;25;20D;13910,2;939;606,4;1
vpja33;26;4C;0;947,4;603,5;1
